adsh,tag,ddate,qtrs,value,footnote,cik,name,sic,form
0000886982-26-000091,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20251231,4,391750000000.0000,,886982,GOLDMAN SACHS GROUP INC,6211,10-K
0000886982-26-000091,ConcentrationRiskCreditRiskFinancialInstrumentMaximumExposure,20251231,4,112031000000.0000,,886982,GOLDMAN SACHS GROUP INC,6211,10-K
0000886986-26-000004,MaximumExposureToCreditRiskOfFinancialAssets,20240331,0,97000000.0000,,886986,TECK RESOURCES LTD,1400,40-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,953919000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,205994000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,25312000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,20670000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,1504000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,4424000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,113409000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,1513000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,33838000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,9131000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,0.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,33838000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,149326000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,4910000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,0.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,28751000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,13995000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,3518000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,11829000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,76000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,459000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,4517000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
0000891478-26-000030,MaximumExposureToCreditRisk,20231231,0,1396000000.0000,,891478,"BANCO SANTANDER, S.A.",6029,20-F
